0.015900 0.282686 0.362286 0.281275 0.708681 -1.627422 0.009790 0.000000 0.000000 0.000000
0.016405 0.283684 0.361560 0.286462 0.715039 -1.631777 0.011643 0.000000 0.000000 0.000000
0.016503 0.284359 0.360922 0.291140 0.716165 -1.631005 0.013286 0.000000 0.000000 0.000000
0.016471 0.286570 0.359455 0.299900 0.723767 -1.627756 0.019286 0.000000 0.000000 0.000000
0.016228 0.288010 0.358603 0.309204 0.724908 -1.625173 0.022800 0.000000 0.000000 0.000000
0.014757 0.290980 0.356726 0.327692 0.732434 -1.622053 0.026867 0.000000 0.000000 0.000000
0.012364 0.293912 0.354198 0.350788 0.736623 -1.615202 0.029400 0.000000 0.000000 0.000000
0.010869 0.295218 0.352902 0.362237 0.738599 -1.612896 0.033178 0.000000 0.000000 0.000000
0.007262 0.297425 0.350337 0.390653 0.744984 -1.604301 0.035140 0.000000 0.000000 0.000000
0.005324 0.298081 0.349163 0.408615 0.750571 -1.599195 0.036916 0.000000 0.000000 0.000000
0.001593 0.298274 0.347643 0.456084 0.764617 -1.587579 0.039907 0.000000 0.000000 0.000000
-0.003361 0.296420 0.345923 0.504356 0.785452 -1.568207 0.040738 0.000000 0.000000 0.000000
-0.005926 0.295192 0.344454 0.527054 0.792208 -1.558653 0.041311 0.000000 0.000000 0.000000
-0.010901 0.292794 0.340473 0.559306 0.804412 -1.541705 0.041475 0.000000 0.000000 0.000000
-0.015494 0.289751 0.336274 0.594083 0.819378 -1.528205 0.041557 0.000000 0.000000 0.000000
-0.017469 0.288099 0.334332 0.611121 0.829484 -1.521440 0.041557 0.000000 0.000000 0.000000
-0.020476 0.284987 0.330944 0.638095 0.841368 -1.511930 0.041557 0.000000 0.000000 0.000000
-0.025204 0.279514 0.326504 0.662271 0.860216 -1.495155 0.041557 0.000000 0.000000 0.000000
-0.027861 0.275969 0.324361 0.678581 0.871590 -1.483404 0.041557 0.000000 0.000000 0.000000
-0.032739 0.269375 0.319324 0.711904 0.890005 -1.464450 0.041557 0.000000 0.000000 0.000000
-0.036872 0.264170 0.314318 0.740633 0.906434 -1.449647 0.041557 0.000000 0.000000 0.000000
-0.038564 0.261715 0.312145 0.755717 0.916952 -1.443127 0.041557 0.000000 0.000000 0.000000
-0.042187 0.257000 0.307314 0.782065 0.935571 -1.425679 0.041557 0.000000 0.000000 0.000000
-0.044167 0.254775 0.304809 0.796356 0.944731 -1.414611 0.041557 0.000000 0.000000 0.000000
-0.047519 0.250674 0.300331 0.825403 0.962078 -1.397423 0.041557 0.000000 0.000000 0.000000
-0.049805 0.247843 0.296015 0.852051 0.974845 -1.385483 0.041557 0.000000 0.000000 0.000000
-0.050661 0.246709 0.294114 0.862311 0.981732 -1.378425 0.041557 0.000000 0.000000 0.000000
-0.051995 0.244968 0.291098 0.879819 0.996037 -1.365299 0.041557 0.000000 0.000000 0.000000
-0.052762 0.243942 0.288451 0.892504 1.004796 -1.358407 0.041557 0.000000 0.000000 0.000000
-0.053323 0.243274 0.287641 0.899281 1.009201 -1.354907 0.041475 0.000000 0.000000 0.000000
-0.054584 0.242548 0.285930 0.907064 1.012531 -1.346922 0.041475 0.000000 0.000000 0.000000
-0.055283 0.242281 0.285131 0.910494 1.013201 -1.342602 0.041475 0.000000 0.000000 0.000000
-0.056901 0.241433 0.283566 0.913657 1.013597 -1.332395 0.041475 0.000000 0.000000 0.000000
-0.057606 0.240713 0.283068 0.915413 1.015761 -1.328358 0.041393 0.000000 0.000000 0.000000
-0.058747 0.239687 0.282333 0.918449 1.019339 -1.321218 0.041393 0.000000 0.000000 0.000000
-0.059602 0.238792 0.281955 0.920258 1.022206 -1.319477 0.041393 0.000000 0.000000 0.000000
-0.059602 0.238792 0.281955 0.920258 1.022206 -1.319477 0.041393 0.000000 0.000000 0.000000
-0.059602 0.238792 0.281955 0.920258 1.022206 -1.319477 0.041393 0.000000 0.000000 0.000000
-0.059602 0.238792 0.281955 0.920258 1.022206 -1.319477 0.041393 0.000000 0.000000 0.000000
-0.059602 0.238792 0.281955 0.920258 1.022206 -1.319477 0.041393 0.000000 0.000000 0.000000
-0.059602 0.238792 0.281955 0.920258 1.022206 -1.319477 0.041393 0.000000 0.000000 0.000000
-0.059602 0.238792 0.281955 0.920258 1.022206 -1.319477 0.041393 0.000000 0.000000 0.000000
-0.059602 0.238792 0.281955 0.920258 1.022206 -1.319477 0.041393 0.000000 0.000000 0.000000
-0.059602 0.238792 0.281955 0.920258 1.022206 -1.319477 0.041393 0.000000 0.000000 0.000000
-0.059602 0.238792 0.281955 0.920258 1.022206 -1.319477 0.041393 0.000000 0.000000 0.000000
-0.059602 0.238792 0.281955 0.920258 1.022206 -1.319477 0.041393 0.000000 0.000000 0.000000
-0.059602 0.238792 0.281955 0.920258 1.022206 -1.319477 0.041393 0.000000 0.000000 0.000000
-0.059602 0.238792 0.281955 0.920258 1.022206 -1.319477 0.041393 0.000000 0.000000 0.000000
-0.059602 0.238792 0.281955 0.920258 1.022206 -1.319477 0.041393 0.000000 0.000000 0.000000
-0.059602 0.238792 0.281955 0.920258 1.022206 -1.319477 0.041393 0.000000 0.000000 0.000000
